,What PostGIS support,Do we have it?,Supportability Category,Blocking Reason
,ST_ForceRHR — Force the orientation of the vertices in a polygon to follow the Right-Hand-Rule.,No,,
,ST_LineExtend — Returns a line extended forwards and backwards by specified distances.,No,,
,ST_LineToCurve — Converts a linear geometry to a curved geometry.,No,Architectural mismatch,Curve geometries (YB type only stores straight-line vertices)
,ST_Multi — Return the geometry as a MULTI* geometry.,No,,
,ST_Normalize — Return the geometry in its canonical form.,No,,
,ST_Project — Returns a point projected from a start point by a distance and bearing (azimuth).,Yes,Supported,Current yb_geospatial extension
,ST_QuantizeCoordinates — Sets least significant bits of coordinates to zero,No,,
,ST_RemovePoint — Remove a point from a linestring.,Yes,Supported,Current yb_geospatial extension
,ST_RemoveRepeatedPoints — Returns a version of a geometry with duplicate points removed.,Yes,Supported,Current yb_geospatial extension
,ST_RemoveIrrelevantPointsForView — Removes points that are irrelevant for rendering a specific rectangular view of a geometry.,No,,
,ST_RemoveSmallParts — Removes small parts (polygon rings or linestrings) of a geometry.,No,,
,ST_Reverse — Return the geometry with vertex order reversed.,Yes,Supported,Current yb_geospatial extension
,ST_Segmentize — Returns a modified geometry/geography having no segment longer than a given distance.,Yes,Supported,Current yb_geospatial extension
,ST_SetPoint — Replace point of a linestring with a given point.,Yes,Supported,Current yb_geospatial extension
,ST_ShiftLongitude — Shifts the longitude coordinates of a geometry between -180..180 and 0..360.,No,,
,ST_WrapX — Wrap a geometry around an X value.,No,,
,ST_SnapToGrid — Snap all points of the input geometry to a regular grid.,Yes,Supported,Current yb_geospatial extension
,ST_Snap — Snap segments and vertices of input geometry to vertices of a reference geometry.,No,,
,ST_SwapOrdinates — Returns a version of the given geometry with given ordinate values swapped.,No,,
7.6. Geometry Validation,ST_IsValid — Tests if a geometry is well-formed in 2D.,Yes,Supported,Current yb_geospatial extension
,ST_IsValidDetail — Returns a valid_detail row stating if a geometry is valid or if not a reason and a location.,No,,
,"ST_IsValidReason — Returns text stating if a geometry is valid, or a reason for invalidity.",No,,
